2026-01-27 15:30:35,477 | INFO | gen20 | 프로젝트 루트: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation
2026-01-27 15:30:35,477 | INFO | gen20 | 워크스페이스 루트: /Users/t2024-m0246/Documents/GitHub/project_sojeong
2026-01-27 15:30:35,479 | INFO | gen20 | cards_info.csv shape=30 x 7
2026-01-27 15:30:35,483 | INFO | gen20 | cards_benefits_fixed.csv shape=253 x 10
2026-01-27 15:30:35,484 | INFO | gen20 | youtube_20_consumption.csv.csv shape=104 x 7
2026-01-27 15:30:35,487 | INFO | gen20 | youtube_comments_700.csv shape=700 x 6
2026-01-27 15:30:35,488 | INFO | gen20 | youtube_dining_search_100.csv shape=100 x 8
2026-01-27 15:30:35,489 | INFO | gen20 | naverlab_dining_trend_comparison.csv shape=12 x 6
2026-01-27 15:30:35,512 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/cards_merged.csv
2026-01-27 15:30:35,514 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/spending_pattern_20s.csv
2026-01-27 15:30:35,518 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/sentiment_analysis.csv
2026-01-27 15:30:35,525 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/yt_tfidf_keywords.csv
2026-01-27 15:30:35,530 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/yt_monthly_trend.csv
2026-01-27 15:30:35,535 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/sentiment_analysis.csv
2026-01-27 15:30:35,536 | INFO | gen20 | sentiment_score mean=0.0162, std=0.1185
2026-01-27 15:30:35,537 | INFO | gen20 | 피어슨 상관계수: r=0.8787, p-value=0.0002
2026-01-27 15:30:35,538 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/trend_correlations.csv
2026-01-27 15:30:35,548 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/dining_benefit_scores.csv
2026-01-27 15:30:35,552 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/weighted_match_scores.csv
2026-01-27 15:30:35,557 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/top_cards.csv
2026-01-27 15:30:35,564 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/scenario_recommendations.csv
2026-01-27 15:30:35,567 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/plcc_proposal.md
2026-01-27 15:30:35,569 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/final_report.md
2026-01-27 15:30:35,572 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/dashboard.html
2026-01-27 15:30:35,572 | INFO | gen20 | 파이프라인 완료. outputs/reports 확인하세요.
2026-01-27 15:31:21,033 | INFO | gen20 | 프로젝트 루트: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation
2026-01-27 15:31:21,034 | INFO | gen20 | 워크스페이스 루트: /Users/t2024-m0246/Documents/GitHub/project_sojeong
2026-01-27 15:31:21,035 | INFO | gen20 | cards_info.csv shape=30 x 7
2026-01-27 15:31:21,039 | INFO | gen20 | cards_benefits_fixed.csv shape=253 x 10
2026-01-27 15:31:21,041 | INFO | gen20 | youtube_20_consumption.csv.csv shape=104 x 7
2026-01-27 15:31:21,045 | INFO | gen20 | youtube_comments_700.csv shape=700 x 6
2026-01-27 15:31:21,046 | INFO | gen20 | youtube_dining_search_100.csv shape=100 x 8
2026-01-27 15:31:21,047 | INFO | gen20 | naverlab_dining_trend_comparison.csv shape=12 x 6
2026-01-27 15:31:21,072 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/cards_merged.csv
2026-01-27 15:31:21,074 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/spending_pattern_20s.csv
