카드이용내역,,,,,,,,,,,,,,
■ 카드이용내역 요약,,,,,,,,,,,,,,
조회기간,사용처구분,정상∙취소 구분,이용구분,건수합계,금액합계(원),,,,,,,,,
2024.12.03~2025.12.02,전체,전체,전체,933건,"16,617,923",,,,,,,,,
■ 국내이용내역 상세,,,,,,,,,,,,,,
이용일자,이용시간,이용카드,이용가맹점,업종,이용금액,이용구분,할부개월,승인번호,취소여부,취소일자,취소금액,포인트사용,온누리상품권사용금액,매입여부
2025.10.20,14:52,본인 우리은행 포인트플러스 GRANDE(9*3*),카카오_멜론,PG(오프라인),"8,690",일시불,-,42048724,N,,0,0,0,Y
2025.10.20,12:44,본인 우리은행 포인트플러스 GRANDE(9*3*),쥬씨 서울대녹두거리점,커피전문점,"4,800",일시불,-,66881723,N,,0,0,0,Y
2025.10.20,9:54,본인 우리은행 포인트플러스 GRANDE(9*3*),카공족 서울대벤처타운역점,독서실,"5,900",일시불,-,56823722,N,,0,0,0,Y
2025.10.19,17:05,본인 우리은행 포인트플러스 GRANDE(9*3*),쥬씨 서울대녹두거리점,커피전문점,"3,800",일시불,-,47841721,N,,0,0,0,Y
2025.10.19,14:30,본인 우리은행 포인트플러스 GRANDE(9*3*),쥬씨 서울대녹두거리점,커피전문점,"2,000",일시불,-,65437720,N,,0,0,0,Y
2025.10.19,14:25,본인 우리은행 포인트플러스 GRANDE(9*3*),심가면옥,한식(한정식),"10,000",일시불,-,24916719,N,,0,0,0,Y
2025.10.19,13:57,본인 우리은행 포인트플러스 GRANDE(9*3*),카공족 서울대벤처타운역점,독서실,"5,900",일시불,-,67619718,N,,0,0,0,Y
2025.10.18,22:15,본인 우리은행 포인트플러스 GRANDE(9*3*),구글페이먼트_구글페이먼트코리아,PG(오프라인),"6,000",일시불,-,50790717,N,,0,0,0,Y
2025.10.18,21:34,본인 우리은행 포인트플러스 GRANDE(9*3*),NICE_통신판매_NICE정보통신㈜,PG(오프라인),"9,900",일시불,-,35481716,N,,0,0,0,Y
2025.10.18,20:42,본인 우리은행 포인트플러스 GRANDE(9*3*),벌툰 몽유도원 고척점,기타일반음식,"12,500",일시불,-,26840715,N,,0,0,0,Y
